account_id,district_id,frequency,date
576,55,M,6
3818,74,M,6
704,55,M,6
2378,16,M,6
2632,24,M,6
1972,77,M,6
1539,1,AT,6
793,47,M,6
2484,74,M,6
1695,76,M,6
1726,48,M,6
2881,70,M,6
2357,19,M,6
2177,62,M,6
485,6,AT,6
652,21,M,6
9635,70,M,6
1844,44,M,6
1926,37,M,6
2393,10,M,6
3510,41,M,6
1276,36,M,6
1637,1,M,6
3871,26,M,6
192,55,M,6
764,1,M,6
2087,7,W,6
2122,68,M,6
3592,54,M,6
3487,41,M,6
435,38,M,6
1730,1,M,6
1493,41,M,6
374,38,M,6
2925,1,M,6
866,9,M,6
1628,60,M,6
2379,44,M,6
1979,26,M,6
346,37,M,6
1338,74,M,6
1909,14,M,6
2099,3,W,6
3760,44,M,6
5270,44,M,6
1699,53,M,6
3909,1,M,6
2926,50,M,6
1731,33,M,6
11265,15,M,6
2519,4,M,6
10364,55,M,6
1481,15,M,6
401,32,M,6
4034,1,M,6
2330,54,M,6
1806,40,M,6
3834,54,M,6
1222,66,M,6
212,27,W,6
456,49,M,6
459,47,M,6
772,45,M,6
1019,52,M,6
11295,74,M,6
2970,60,M,6
2676,73,M,6
1536,41,W,6
1179,74,M,6
280,25,M,6
2425,41,M,6
9307,68,M,6
4055,23,M,6
5065,66,M,6
3704,75,M,6
477,1,M,6
5891,54,M,6
1000,77,M,6
1750,1,M,6
2023,68,M,6
6473,12,M,6
1649,46,M,6
2670,13,M,6
1127,27,M,6
163,30,M,6
2566,48,M,6
9,70,M,6
1144,59,M,6
2902,32,M,6
4296,63,M,6
443,64,M,6
3693,61,M,6
2070,72,M,6
1843,12,M,6
2714,1,M,6
4078,40,M,6
1675,36,M,6
5868,44,M,6
1805,1,M,6
2434,17,M,6
3007,16,M,6
2574,68,M,6
862,64,W,6
1132,1,W,6
4484,54,M,6
943,1,M,6
3514,7,M,6
3983,67,M,6
9265,1,M,6
465,32,M,6
982,54,M,6
411,70,M,6
890,14,M,6
627,63,M,6
2429,61,M,6
3960,64,M,6
2256,48,M,6
8051,1,W,6
2647,73,M,6
2241,6,M,6
5622,70,M,6
2884,1,M,6
1830,10,M,6
7753,74,M,6
244,24,M,6
1477,1,M,6
4240,50,M,6
1006,6,M,6
830,74,M,6
9188,45,M,6
1965,57,AT,6
1134,6,M,6
1601,10,M,6
2861,38,M,6
813,16,M,6
2585,75,M,6
2220,16,M,6
2763,64,M,6
2342,51,M,6
1944,72,M,6
1966,27,M,6
1801,46,M,6
2543,68,M,6
2293,31,M,6
11013,1,W,6
2423,30,M,6
142,51,M,6
3424,74,M,6
539,13,AT,6
979,21,M,6
3554,66,M,6
3545,51,M,6
3047,16,M,6
3374,21,M,6
96,68,M,6
461,30,M,6
3593,1,M,6
3026,24,M,6
1054,10,M,6
2433,71,M,6
3691,50,M,6
3787,70,M,6
128,2,M,6
3168,39,M,6
4937,12,M,6
2124,69,M,6
322,1,M,6
4355,31,M,6
1678,1,M,6
2396,2,M,6
1005,54,W,6
697,28,M,6
925,59,M,6
2110,64,M,6
1366,60,M,6
1050,57,AT,6
3117,33,M,6
562,50,M,6
5369,54,M,6
2242,7,W,6
197,1,M,6
496,69,M,6
2,1,M,6
7401,1,M,6
2486,1,M,6
428,1,M,6
3651,23,M,6
1775,17,M,6
1688,70,M,6
361,51,M,6
1829,43,M,6
1575,1,M,6
9203,70,M,6
3008,72,M,6
239,69,W,6
3302,21,M,6
415,25,M,6
3513,20,M,6
4134,7,M,6
1077,14,M,6
1713,43,M,6
1378,59,M,6
2503,1,M,6
559,46,M,6
6555,38,W,6
744,42,M,6
882,9,M,6
86,54,M,6
1126,56,M,6
2666,49,M,6
944,70,M,6
1545,1,M,6
2453,1,M,6
3734,43,M,6
3935,23,M,6
396,21,M,6
2694,7,M,6
4596,74,M,6
2489,72,M,6
2895,19,M,6
317,76,M,6
2555,53,M,6
494,60,M,6
2219,60,M,6
2581,72,M,6
112,6,M,6
3674,38,M,6
2039,44,M,6
2712,9,M,6
395,1,M,6
2974,9,M,6
123,21,M,6
9640,1,M,6
3108,53,M,6
2508,34,M,6
2458,40,W,6
588,66,M,6
7231,10,M,6
6701,49,W,6
3883,72,M,6
222,37,M,6
2497,65,M,6
1372,1,M,6
3835,50,M,6
7445,64,M,6
2527,38,M,6
425,9,M,6
860,1,M,6
6034,6,W,6
11065,11,M,6
9883,1,M,6
115,68,M,6
1189,59,M,6
3675,64,M,6
3069,66,M,6
2762,19,M,6
892,70,M,6
1535,46,M,6
2618,60,M,6
2651,2,M,6
5442,34,M,6
1787,30,W,6
1397,17,M,6
3785,10,M,6
623,1,M,6
8260,31,M,6
3678,1,M,6
3001,1,M,6
655,53,M,6
4093,1,M,6
3260,68,M,6
2528,65,M,6
2011,75,M,6
1721,68,M,6
1332,59,M,6
1402,74,M,6
3283,68,M,6
3781,31,M,6
7203,71,M,6
1065,72,M,6
3076,54,M,6
4347,1,M,6
1157,7,M,6
9403,1,W,6
1874,9,M,6
1115,34,M,6
3586,59,M,6
62,47,M,6
1771,69,M,6
5483,13,M,6
8330,48,M,6
187,5,M,6
423,12,M,6
6425,31,M,6
2493,62,M,6
2896,29,M,6
2245,29,M,6
3923,52,M,6
1898,70,M,6
3367,1,M,6
3391,74,M,6
8519,23,M,6
1780,1,M,6
3915,65,M,6
3980,75,M,6
4350,63,M,6
686,41,M,6
362,15,M,6
299,77,M,6
2488,5,M,6
2985,71,M,6
385,5,M,6
2817,56,M,6
2056,58,M,6
2002,1,M,6
748,10,M,6
220,72,M,6
1422,68,M,6
1147,44,M,6
3788,70,M,6
1891,32,M,6
1239,1,M,6
8321,77,M,6
3213,51,M,6
2838,3,W,6
3644,38,M,6
4318,33,W,6
2648,51,M,6
2313,26,W,6
5428,24,M,6
7123,64,AT,6
279,39,M,6
104,37,M,6
497,55,M,6
1152,45,M,6
83,26,M,6
2008,52,M,6
3327,45,M,6
5740,43,M,6
8132,5,W,6
10738,45,W,6
2216,74,M,6
1815,66,M,6
2823,57,M,6
4321,47,M,6
1773,33,M,6
7454,4,M,6
188,54,M,6
10973,18,W,6
2599,48,M,6
1166,11,M,6
504,73,M,6
1518,67,M,6
2189,75,M,6
6040,1,M,6
2876,52,M,6
1505,69,M,6
6897,48,M,6
4377,28,M,6
717,75,M,6
9707,70,M,6
2814,72,M,6
3068,59,M,6
1476,61,M,6
897,38,M,6
977,1,M,6
2639,17,M,6
1032,11,M,6
928,20,M,6
168,31,M,6
2175,1,M,6
10105,55,M,6
1392,60,M,6
3697,45,M,6
5313,40,M,6
2222,47,M,6
2641,7,M,6
5423,15,M,6
2609,73,M,6
5472,1,M,6
2932,72,M,6
4254,70,M,6
3965,31,M,6
10656,8,M,6
887,1,M,6
4743,64,M,6
1048,35,M,6
1671,6,M,6
1236,19,M,6
1822,30,M,6
3316,28,M,6
2037,20,M,6
10079,62,M,6
3999,35,M,6
551,77,M,6
1200,33,M,6
1161,66,M,6
5372,48,M,6
3050,60,M,6
1784,59,M,6
1603,1,M,6
1887,68,M,6
1644,1,M,6
1658,73,M,6
44,32,M,6
1039,70,W,6
1071,68,W,6
2410,54,M,6
2523,10,M,6
790,54,M,6
2583,62,M,6
1782,8,M,6
751,3,M,6
2061,24,M,6
8261,13,M,6
2321,35,M,6
1334,74,M,6
3649,54,M,6
555,24,M,6
3173,39,M,6
863,71,M,6
3181,42,M,6
3210,1,M,6
489,16,M,6
947,59,M,6
3284,64,M,6
1610,52,M,6
4225,55,M,6
1412,64,M,6
1937,36,M,6
991,39,M,6
1180,20,M,6
2758,70,M,6
2711,58,M,6
1652,74,M,6
3099,70,M,6
11111,1,M,6
9591,74,M,6
9828,11,M,6
5385,44,W,6
23,30,M,6
2645,54,M,6
2991,19,M,6
3469,76,M,6
1851,55,M,6
3844,67,M,6
1442,23,M,6
3064,40,M,6
3558,4,M,6
1534,1,M,6
334,1,M,6
1786,1,M,6
1272,40,W,6
2436,67,M,6
3796,53,M,6
119,27,M,6
3063,72,M,6
18,43,W,6
11320,44,M,6
3888,39,M,6
1584,30,M,6
5546,43,M,6
2029,55,M,6
10911,1,W,6
2467,33,M,6
2962,1,M,6
165,25,M,6
1617,45,M,6
327,54,M,6
2068,21,M,6
4448,60,M,6
640,32,M,6
510,1,W,6
2534,61,M,6
1018,7,M,6
1285,65,M,6
3670,27,M,6
1743,51,M,6
3072,8,M,6
2146,31,M,6
4576,27,M,6
3258,53,M,6
2176,67,M,6
8934,51,M,6
1999,70,M,6
2741,15,M,6
4427,32,M,6
3682,70,M,6
2862,33,M,6
3032,5,M,6
701,69,M,6
6281,56,M,6
306,16,M,6
1207,67,M,6
1247,25,M,6
5343,64,M,6
5129,68,M,6
3713,14,W,6
2327,19,M,6
774,1,M,6
1990,1,M,6
2388,30,M,6
3566,21,M,6
10266,54,M,6
3771,22,M,6
1978,57,W,6
2022,72,M,6
3542,49,M,6
1515,11,M,6
4171,28,M,6
433,20,M,6
1373,47,M,6
3246,54,M,6
1475,1,W,6
3133,66,M,6
2779,73,M,6
135,75,M,6
446,50,M,6
9093,47,M,6
432,46,M,6
2880,71,M,6
5767,72,M,6
1998,1,M,6
2554,36,M,6
2933,10,M,6
773,15,M,6
4894,14,M,6
3969,39,M,6
1277,31,M,6
5120,1,M,6
738,34,M,6
1299,1,M,6
148,8,M,6
899,72,M,6
3521,75,M,6
3786,21,M,6
886,1,M,6
5228,77,AT,6
702,12,M,6
300,1,M,6
1451,64,M,6
2940,54,M,6
1837,23,M,6
3954,22,M,6
885,1,M,6
2697,8,M,6
8129,45,M,6
1930,3,M,6
2411,69,M,6
3775,19,M,6
9034,1,M,6
902,74,M,6
630,71,M,6
3096,68,M,6
2552,52,M,6
3435,59,M,6
5215,55,M,6
36,1,M,6
2687,76,M,6
1861,54,M,6
2464,33,AT,6
2736,72,M,6
1145,31,M,6
2298,31,M,6
929,54,M,6
381,68,M,6
3778,52,M,6
1118,48,M,6
4352,2,M,6
1322,17,M,6
1852,35,M,6
8173,11,M,6
2705,63,AT,6
9472,1,W,6
368,77,M,6
1425,76,M,6
8027,44,W,6
3261,1,M,6
35,75,M,6
2186,63,M,6
1566,73,M,6
78,74,M,6
3939,70,M,6
2584,50,M,6
2336,39,M,6
2078,62,M,6
3882,10,M,6
4159,74,M,6
907,41,M,6
1411,54,M,6
1684,32,W,6
3748,1,M,6
2213,68,M,6
1062,6,M,6
273,24,AT,6
10320,68,M,6
1416,66,W,6
3277,36,M,6
1892,28,M,6
3413,70,M,6
3654,47,M,6
3000,28,M,6
3955,64,M,6
1544,69,M,6
9703,68,M,6
234,73,M,6
3241,44,M,6
3465,1,M,6
3152,1,M,6
1497,1,M,6
3078,1,M,6
400,28,M,6
1902,50,W,6
757,50,M,6
1116,1,M,6
5700,42,M,6
3267,64,M,6
3222,4,M,6
408,41,M,6
2818,40,M,6
6273,38,M,6
2513,70,M,6
3493,63,M,6
1201,61,M,6
4478,70,M,6
2915,57,M,6
9833,20,M,6
2253,74,M,6
1069,70,M,6
207,2,M,6
3212,70,M,6
4035,1,M,6
1268,74,M,6
3287,18,M,6
6226,74,W,6
2123,64,M,6
3982,26,M,6
2701,71,M,6
3629,48,M,6
2841,71,M,6
563,53,M,6
2732,5,M,6
1297,70,M,6
7485,39,M,6
2088,4,M,6
225,1,M,6
1630,72,M,6
403,1,M,6
445,63,W,6
186,1,W,6
3720,36,M,6
574,70,M,6
1429,57,M,6
3580,43,M,6
7819,38,M,6
759,23,M,6
6363,74,M,6
3738,51,M,6
4000,7,M,6
9041,1,M,6
2620,22,M,6
3609,28,M,6
1382,48,M,6
930,41,M,6
1925,12,M,6
1834,62,M,6
1507,35,M,6
7857,75,M,6
6636,72,W,6
601,29,M,6
3298,29,M,6
2938,1,M,6
2199,1,M,6
3745,5,M,6
3699,50,M,6
816,52,M,6
3656,53,M,6
2038,42,M,6
2542,21,M,6
1136,12,M,6
1589,37,M,6
3136,69,M,6
3547,54,M,6
26,52,M,6
657,47,M,6
3538,58,M,6
2167,16,M,6
3127,66,M,6
47,45,M,6
3850,8,M,6
5366,70,M,6
747,39,M,6
3166,71,M,6
11021,1,M,6
1701,1,M,6
3613,43,M,6
3600,27,M,6
3792,10,M,6
523,1,M,6
3808,38,M,6
1401,1,M,6
541,61,M,6
1023,21,M,6
3683,33,M,6
3220,29,M,6
1779,33,M,6
1912,64,M,6
238,6,M,6
3113,67,M,6
5481,52,M,6
3035,15,W,6
942,9,M,6
3221,5,M,6
2616,1,M,6
2137,4,AT,6
978,73,M,6
2771,37,M,6
3891,1,M,6
9236,11,M,6
274,76,M,6
552,14,M,6
2417,44,M,6
3868,43,M,6
9869,12,M,6
1875,44,M,6
8212,52,AT,6
3477,71,M,6
1513,30,M,6
3053,11,M,6
1057,13,M,6
6030,47,M,6
3407,28,M,6
1761,24,M,6
3306,75,M,6
162,60,M,6
5011,31,M,6
965,20,M,6
1305,57,M,6
815,56,M,6
1449,35,M,6
950,49,M,6
3361,45,M,6
3837,48,AT,6
33,22,M,6
2894,17,M,6
2510,61,M,6
389,30,M,6
6051,56,M,6
730,4,M,6
1694,6,W,6
721,76,M,6
1106,20,W,6
3319,56,M,6
10451,1,M,6
172,13,M,6
3920,74,M,6
3011,64,M,6
1337,23,M,6
2592,69,M,6
146,4,M,6
2576,1,M,6
3195,40,M,6
8073,24,AT,6
4463,67,M,6
2082,36,M,6
2020,13,M,6
160,23,M,6
7607,1,M,6
117,31,M,6
3509,2,M,6
151,76,M,6
1719,1,M,6
3456,32,M,6
2951,44,M,6
7190,49,M,6
1827,10,M,6
1689,55,M,6
1197,68,M,6
5952,50,M,6
6930,41,M,6
1107,42,M,6
8475,4,M,6
3575,7,M,6
2691,69,M,6
3323,13,M,6
2428,72,M,6
2649,2,M,6
2907,70,M,6
1091,16,M,6
1487,66,M,6
3157,77,M,6
4414,24,M,6
2302,24,M,6
1410,74,M,6
1146,67,M,6
8564,68,M,6
750,73,M,6
2150,37,M,6
10940,50,M,6
9337,30,M,6
861,22,M,6
10440,72,M,6
10036,1,M,6
1234,6,M,6
7774,74,AT,6
1547,72,M,6
1079,74,M,6
3863,15,M,6
3480,58,M,6
2671,1,M,6
1705,70,M,6
3028,27,M,6
3310,25,M,6
6715,48,W,6
3255,1,M,6
3751,9,M,6
2987,18,M,6
857,77,M,6
3042,10,M,6
2695,16,M,6
2849,1,M,6
2802,1,M,6
34,67,W,6
7133,1,M,6
699,1,M,6
2282,29,W,6
8489,19,M,6
837,46,M,6
8759,1,M,6
1602,33,M,6
2958,48,M,6
3408,62,M,6
153,77,M,6
3268,21,M,6
854,62,M,6
1831,1,M,6
39,36,M,6
1811,40,M,6
3822,8,M,6
1404,7,W,6
517,76,M,6
1440,55,M,6
3505,46,M,6
1804,20,W,6
2617,1,M,6
467,74,M,6
4437,40,M,6
1453,61,W,6
3977,7,M,6
8982,64,M,6
27,73,M,6
4511,33,M,6
1052,61,M,6
10227,62,AT,6
3171,61,M,6
228,5,M,6
3618,29,M,6
1016,40,M,6
15,70,M,6
3237,20,M,6
1485,36,M,6
7769,23,M,6
2613,26,M,6
2201,8,M,6
1896,74,M,6
5387,1,M,6
3535,1,M,6
1120,1,M,6
235,41,M,6
3701,76,M,6
1516,67,M,6
4543,33,M,6
2427,70,W,6
1981,64,M,6
8566,74,M,6
678,17,M,6
4659,56,M,6
4059,34,M,6
4013,73,AT,6
7011,75,M,6
2132,76,M,6
1816,44,M,6
2623,58,M,6
2793,47,M,6
2479,18,M,6
11135,75,M,6
8041,1,M,6
492,5,M,6
799,56,M,6
3972,51,M,6
1468,54,M,6
624,70,M,6
3483,40,M,6
4260,56,M,6
616,43,M,6
931,59,M,6
102,11,M,6
540,75,M,6
2660,1,W,6
4287,1,M,6
3551,6,M,6
2072,41,M,6
4119,77,M,6
1345,28,M,6
1565,36,M,6
2824,11,M,6
2052,61,M,6
1767,21,M,6
2140,75,M,6
1051,35,M,6
3927,56,M,6
2050,1,M,6
2276,31,M,6
126,5,M,6
2859,11,M,6
2667,23,M,6
1789,46,M,6
838,47,M,6
3264,70,M,6
198,70,M,6
2345,5,M,6
5256,72,AT,6
40,64,M,6
419,13,M,6
3892,43,M,6
1217,69,M,6
397,11,M,6
3146,68,M,6
287,16,M,6
2180,45,M,6
354,59,M,6
259,2,M,6
1666,67,M,6
1495,36,M,6
2582,28,M,6
4470,16,M,6
1381,57,M,6
2435,38,M,6
542,1,M,6
1123,13,M,6
3225,1,M,6
1133,1,M,6
3086,1,M,6
2250,35,M,6
340,1,M,6
4079,52,M,6
841,1,M,6
2269,6,M,6
2867,30,M,6
3371,68,M,6
520,60,M,6
743,10,M,6
3640,10,M,6
3354,63,M,6
107,64,M,6
243,55,W,6
3687,71,M,6
1984,73,M,6
4173,1,M,6
2700,74,M,6
2318,73,M,6
7965,55,M,6
3352,42,M,6
4255,70,W,6
73,72,M,6
3948,1,M,6
648,13,M,6
3688,70,M,6
462,29,M,6
3243,1,M,6
8625,64,M,6
321,47,M,6
3548,23,M,6
5984,11,M,6
3091,3,M,6
626,72,M,6
998,47,M,6
3326,5,M,6
2457,76,M,6
2549,74,M,6
1947,35,M,6
2738,41,M,6
1809,1,W,6
519,24,M,6
2665,61,M,6
1114,6,W,6
8957,1,M,6
2271,68,M,6
196,4,M,6
3218,41,M,6
3660,74,M,6
787,10,M,6
3820,1,M,6
10906,76,M,6
914,73,M,6
9656,61,M,6
1941,60,M,6
3617,22,M,6
3370,49,M,6
1664,56,M,6
4337,29,M,6
2557,40,M,6
1527,31,AT,6
3938,57,M,6
1686,11,M,6
10670,60,M,6
3309,66,M,6
3107,5,M,6
8377,29,M,6
345,5,M,6
498,1,M,6
3571,39,M,6
5991,1,M,6
1128,74,M,6
10439,66,M,6
1302,55,M,6
10788,67,W,6
4343,31,M,6
2460,1,M,6
1931,20,M,6
2972,12,M,6
1286,66,AT,6
1235,76,M,6
4385,23,M,6
7449,1,M,6
545,54,M,6
245,65,M,6
688,74,M,6
173,66,M,6
10904,48,M,6
7844,1,M,6
6353,26,M,6
604,12,M,6
6806,1,M,6
5927,15,M,6
2419,24,M,6
1288,11,M,6
3003,18,M,6
10131,1,M,6
1952,70,M,6
651,72,M,6
2989,4,M,6
1499,47,M,6
426,1,M,6
3570,44,M,6
4237,18,M,6
2739,59,M,6
4526,63,M,6
1621,75,M,6
344,54,M,6
1359,8,M,6
290,56,M,6
66,48,AT,6
1314,48,M,6
3145,4,M,6
1204,29,M,6
437,43,M,6
2063,1,M,6
3087,15,M,6
2588,5,M,6
956,74,M,6
597,41,M,6
3129,5,M,6
884,2,M,6
4264,28,M,6
3223,1,M,6
737,34,M,6
2306,38,M,6
1673,53,M,6
10663,11,M,6
3345,22,M,6
1970,8,M,6
2504,16,M,6
358,12,M,6
2980,66,M,6
3918,53,M,6
1680,59,M,6
3039,1,M,6
3380,64,M,6
2128,22,M,6
903,47,M,6
1762,28,M,6
61,70,M,6
391,36,M,6
2305,1,M,6
1588,67,M,6
183,43,M,6
365,74,M,6
2476,32,M,6
347,65,M,6
1877,76,M,6
3196,1,M,6
2928,55,M,6
1225,4,M,6
3825,7,M,6
180,55,W,6
2813,24,M,6
1605,72,M,6
1792,7,M,6
1604,54,M,6
883,1,M,6
441,27,W,6
3429,73,M,6
4514,69,M,6
1088,32,M,6
3094,56,M,6
1768,15,M,6
2768,73,M,6
2257,57,M,6
1882,1,M,6
719,30,M,6
5092,74,M,6
3292,1,M,6
3604,75,M,6
2733,76,M,6
3669,76,M,6
1940,52,M,6
3056,55,M,6
1419,33,M,6
2971,76,W,6
1959,62,M,6
3164,33,M,6
3197,1,M,6
2770,42,M,6
7944,59,M,6
1080,55,M,6
6148,74,M,6
2010,1,M,6
3135,72,M,6
1098,47,M,6
100,41,M,6
2913,8,M,6
1153,35,M,6
1635,19,M,6
2842,14,M,6
3759,1,M,6
3594,29,M,6
2778,38,M,6
2161,15,W,6
2789,14,M,5
1552,18,M,5
628,72,M,5
1458,29,M,5
2673,34,M,5
1788,1,M,5
1193,29,M,5
969,19,M,5
1512,1,M,5
3997,62,M,5
2179,1,W,5
1164,35,M,5
4774,66,M,5
4413,74,W,5
1824,52,M,5
1231,7,M,5
2664,58,M,5
1627,1,M,5
9104,10,M,5
2326,70,M,5
4356,47,M,5
3667,55,M,5
742,77,M,5
2538,42,M,5
127,29,M,5
726,76,M,5
4907,42,M,5
2628,64,AT,5
3898,70,M,5
6472,61,M,5
1770,65,M,5
2472,60,M,5
1159,49,M,5
4418,66,M,5
1470,19,M,5
1813,47,M,5
4416,14,M,5
2315,75,M,5
3876,69,M,5
4329,1,M,5
3184,1,M,5
370,25,M,5
1317,56,M,5
2675,1,M,5
3840,76,M,5
4009,56,M,5
3886,1,M,5
3445,1,M,5
2482,1,M,5
2361,28,M,5
974,29,M,5
2959,8,M,5
1880,76,M,5
3355,70,M,5
2501,30,M,5
1073,73,M,5
8558,1,AT,5
3101,1,M,5
2568,17,M,5
1169,49,AT,5
3684,23,M,5
1406,50,M,5
71,1,M,5
3528,10,M,5
3405,36,M,5
6118,1,W,5
2382,59,M,5
1570,1,M,5
1511,51,AT,5
1237,9,M,5
3307,30,M,5
3378,55,M,5
989,19,M,5
3253,71,AT,5
1626,3,M,5
289,1,M,5
1987,54,M,5
817,5,M,5
2228,34,M,5
904,1,M,5
3824,41,M,5
3599,63,M,5
22,1,M,5
470,64,M,5
1273,37,M,5
237,50,M,5
59,43,M,5
572,32,M,5
1269,52,M,5
855,1,M,5
3183,45,M,5
1969,5,M,5
2799,54,W,5
1042,43,M,5
1158,50,M,5
2713,26,M,5
740,28,M,5
493,26,M,5
2067,76,M,5
3804,7,M,5
4259,66,M,5
2886,1,M,5
761,43,M,5
1918,24,M,5
3036,10,M,5
3259,1,M,5
4408,71,W,5
2009,17,M,5
1194,1,M,5
3718,63,M,5
3201,4,M,5
460,1,M,5
784,59,M,5
3714,2,W,5
2154,63,M,5
1256,38,M,5
1353,51,M,5
1820,10,M,5
2494,74,M,5
2399,1,M,5
343,18,M,5
575,38,M,5
900,48,M,5
1467,37,M,5
31,68,M,5
1375,19,M,5
1371,1,M,5
844,53,M,5
908,62,M,5
3134,48,M,5
2092,1,M,5
3747,1,M,5
277,32,AT,5
3595,30,M,5
2511,40,M,5
1388,29,M,5
4245,52,M,5
3838,3,M,5
543,64,M,5
3653,31,M,5
524,61,M,5
82,26,M,5
3912,2,M,5
1949,41,M,5
1865,1,M,5
451,11,M,5
50,1,M,5
1184,14,M,5
363,1,M,5
2454,8,M,5
2847,75,M,5
2740,14,M,5
1871,48,M,5
8405,20,M,5
266,47,M,5
1879,10,M,5
2259,64,M,5
609,63,M,5
9750,74,M,5
2375,29,M,5
216,38,M,5
56,50,M,5
7824,60,M,5
649,69,W,5
2996,54,M,5
1509,51,M,5
2170,1,AT,5
2001,75,M,5
2903,38,M,5
3717,56,M,5
4195,67,M,5
2496,51,M,5
9583,31,W,5
3636,21,M,5
1826,5,M,5
2227,31,W,5
2749,1,M,5
535,35,M,5
4066,72,M,5
2662,71,M,5
1053,57,M,5
11333,8,M,5
1838,68,M,5
3037,44,M,5
3372,23,M,5
985,32,M,5
6924,74,M,5
3484,22,M,5
700,20,M,5
3289,1,M,5
2638,5,M,5
8316,70,M,5
1634,77,M,5
4825,15,M,5
3650,8,M,5
10942,44,W,5
2922,16,M,5
693,2,M,5
2260,1,M,5
538,70,M,5
548,16,M,5
941,8,M,5
2155,58,M,5
4519,8,M,5
3539,42,M,5
6511,72,M,5
2569,2,M,5
43,36,M,5
1047,46,M,5
3479,22,M,5
2868,1,M,5
4328,72,M,5
5628,61,M,5
3160,22,M,5
1856,26,M,5
154,46,M,5
3030,65,M,5
1938,1,M,5
1870,10,M,5
3275,74,M,5
8492,2,M,5
10093,1,W,5
3805,9,M,5
200,17,M,5
2471,6,M,5
352,39,M,5
1291,1,M,5
161,28,M,5
711,70,M,5
964,26,M,5
1012,65,M,5
4276,43,M,5
901,60,M,5
7765,52,W,5
90,1,M,5
5574,13,W,5
741,54,M,5
2819,35,M,5
478,58,M,5
2615,68,M,5
3503,1,M,5
3921,18,M,5
662,21,M,5
2654,56,M,5
9627,65,AT,5
2470,16,M,5
427,8,M,5
709,19,M,5
629,31,M,5
2606,1,M,5
6738,62,M,5
2912,74,M,5
4995,20,W,5
1022,33,W,5
1797,24,M,5
3497,76,M,5
1848,1,M,5
582,12,M,5
3167,18,M,5
1579,57,M,5
610,74,M,5
3536,24,M,5
1017,14,M,5
3017,75,M,5
3112,38,M,5
1360,71,M,5
2747,1,M,5
9192,1,M,5
1398,62,M,5
1246,58,M,5
1592,38,M,5
3728,10,M,5
4131,5,M,5
377,70,M,5
1911,68,M,5
635,21,M,5
3625,3,M,5
3425,70,M,5
1327,65,M,5
8776,64,M,5
2798,70,M,5
2401,16,M,5
3612,70,M,5
4580,9,M,5
3226,65,M,5
7523,63,M,5
3533,74,M,5
422,53,W,5
3608,72,W,5
1105,55,M,5
2596,1,M,5
9006,40,W,5
3579,53,M,5
710,25,M,5
7546,43,M,5
1766,28,M,5
1292,3,M,5
3797,64,M,5
3478,30,M,5
8899,1,W,5
1975,19,M,5
3049,61,M,5
3730,17,M,5
1714,72,M,5
518,74,M,5
6321,1,M,5
3926,72,M,5
1878,52,W,5
3712,3,M,5
2030,51,M,5
3869,72,M,5
1908,20,M,5
3142,2,M,5
1301,18,M,5
3288,54,M,5
318,36,M,5
3336,51,M,5
1653,1,M,5
577,29,M,5
2960,19,M,5
2267,54,W,5
1989,48,M,5
1352,1,M,5
851,15,M,5
716,47,M,5
3555,32,M,5
6,51,M,5
1828,1,M,5
1333,21,M,5
11359,61,M,5
3457,54,M,5
2627,76,M,5
2025,19,M,5
3975,20,M,5
2905,74,M,5
3827,1,M,5
939,55,M,5
1421,71,M,5
1934,46,M,5
3878,23,M,5
2363,47,M,5
1559,14,M,5
2195,73,M,5
1205,73,M,5
2059,37,M,5
2333,45,M,5
3074,74,W,5
2840,15,M,5
2430,3,M,5
2463,56,M,5
3860,4,M,5
2788,54,M,5
8127,37,M,5
596,31,M,5
3622,53,M,5
1312,23,M,5
2742,23,M,5
654,63,M,5
4283,39,M,5
2924,56,M,5
