loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,status_loan,loan_year,loan_month
5314,1787,93-07-05,96396,12,8033,-1,93,07
5316,1801,93-07-11,165960,36,4610,1,93,07
6863,9188,93-07-28,127080,60,2118,1,93,07
5325,1843,93-08-03,105804,36,2939,1,93,08
7240,11013,93-09-06,274740,60,4579,1,93,09
6687,8261,93-09-13,87840,24,3660,1,93,09
7284,11265,93-09-15,52788,12,4399,1,93,09
6111,5428,93-09-24,174744,24,7281,-1,93,09
7235,10973,93-10-13,154416,48,3217,1,93,10
5997,4894,93-11-04,117024,24,4876,1,93,11
7121,10364,93-11-10,21924,36,609,1,93,11
6077,5270,93-11-22,79608,24,3317,1,93,11
6228,6034,93-12-01,464520,60,7742,-1,93,12
6356,6701,93-12-08,95400,36,2650,1,93,12
5523,2705,93-12-08,93888,36,2608,1,93,12
6456,7123,93-12-09,47016,12,3918,1,93,12
7104,10320,93-12-13,259740,60,4329,1,93,12
6820,9034,93-12-16,38148,12,3179,1,93,12
6876,9236,93-12-21,86616,12,7218,1,93,12
7097,10266,93-12-23,75624,24,3151,-1,93,12
4959,2,94-01-05,80952,24,3373,1,94,01
6499,7401,94-01-05,80952,24,3373,1,94,01
5479,2486,94-01-10,24516,12,2043,1,94,01
5170,1071,94-01-20,253200,60,4220,1,94,01
6721,8475,94-01-21,21072,24,878,1,94,01
7259,11111,94-01-31,108144,36,3004,1,94,01
5285,1603,94-02-06,78936,12,6578,1,94,02
5189,1166,94-02-07,149040,48,3105,1,94,02
6650,8073,94-02-17,49320,12,4110,-1,94,02
7226,10940,94-02-23,197748,36,5493,1,94,02
6087,5313,94-02-27,300660,60,5011,1,94,02
7262,11135,94-03-01,182628,36,5073,1,94,03
5519,2694,94-03-08,91632,12,7636,1,94,03
6577,7753,94-03-11,51696,24,2154,1,94,03
6509,7445,94-03-15,55368,24,2307,1,94,03
6520,7485,94-03-16,91200,24,3800,1,94,03
6699,8330,94-03-30,7656,24,319,1,94,03
6336,6555,94-03-31,212400,36,5900,1,94,03
7055,10079,94-04-06,167100,60,2785,1,94,04
6103,5385,94-04-07,149340,60,2489,1,94,04
6202,5891,94-04-18,65184,12,5432,1,94,04
7066,10131,94-05-02,215388,36,5983,-1,94,05
6696,8321,94-05-09,89040,60,1484,1,94,05
6072,5256,94-05-10,193968,36,5388,1,94,05
5130,813,94-05-11,24312,12,2026,1,94,05
5568,2933,94-05-17,272520,60,4542,1,94,05
6678,8173,94-05-20,80340,12,6695,1,94,05
6998,9833,94-05-21,97632,12,8136,1,94,05
6580,7769,94-05-22,196080,48,4085,1,94,05
6316,6473,94-05-26,76908,12,6409,-1,94,05
6512,7454,94-05-26,63312,48,1319,1,94,05
6407,6930,94-05-26,25944,24,1081,1,94,05
5002,173,94-05-31,104808,12,8734,1,94,05
6647,8051,94-06-01,208320,48,4340,1,94,06
7137,10439,94-06-03,151560,24,6315,1,94,06
6903,9337,94-06-04,52128,24,2172,1,94,06
5918,4576,94-06-04,300204,36,8339,1,94,06
6642,8027,94-06-05,77640,12,6470,1,94,06
6210,5927,94-06-06,87216,48,1817,-1,94,06
6279,6273,94-06-07,87360,24,3640,1,94,06
7249,11065,94-06-12,69360,48,1445,1,94,06
6736,8558,94-06-14,288360,60,4806,1,94,06
6112,5442,94-06-17,174744,24,7281,-1,94,06
5319,1811,94-06-23,239460,60,3991,1,94,06
6596,7844,94-06-25,91584,24,3816,1,94,06
5837,4260,94-06-29,244560,60,4076,1,94,06
5657,3354,94-07-05,4980,12,415,1,94,07
5533,2762,94-07-05,111384,24,4641,1,94,07
6232,6051,94-07-08,276660,36,7685,-1,94,07
6888,9265,94-07-11,39576,12,3298,1,94,07
6066,5228,94-07-11,173808,24,7242,1,94,07
5549,2824,94-07-16,50460,60,841,1,94,07
5060,426,94-07-19,252060,60,4201,-1,94,07
6004,4937,94-07-23,143904,24,5996,1,94,07
5126,790,94-07-24,208128,48,4336,-1,94,07
7220,10911,94-07-28,131292,36,3647,1,94,07
6668,8129,94-07-30,74736,36,2076,1,94,07
5395,2176,94-07-30,299088,36,8308,-1,94,07
6836,9093,94-08-03,189300,60,3155,1,94,08
6064,5215,94-08-04,14628,12,1219,1,94,08
6919,9403,94-08-05,120888,36,3358,1,94,08
6841,9104,94-08-07,172080,48,3585,1,94,08
6038,5120,94-08-10,323472,48,6739,1,94,08
6729,8519,94-08-11,74688,12,6224,1,94,08
7198,10788,94-08-23,45768,12,3814,1,94,08
6686,8260,94-08-25,224604,36,6239,1,94,08
5836,4259,94-08-27,79632,24,3318,1,94,08
7061,10105,94-08-27,121896,24,5079,1,94,08
5595,3050,94-09-02,82896,12,6908,1,94,09
5723,3674,94-09-10,23628,12,1969,1,94,09
6120,5481,94-09-11,209184,48,4358,1,94,09
6895,9307,94-09-19,41904,12,3492,1,94,09
5882,4427,94-09-26,87816,12,7318,1,94,09
5754,3834,94-09-28,23052,12,1921,1,94,09
6594,7824,94-09-28,189696,24,7904,-1,94,09
6738,8566,94-09-29,230220,36,6395,-1,94,09
6624,7965,94-09-30,71460,12,5955,1,94,09
6216,5952,94-09-30,141240,24,5885,1,94,09
6229,6040,94-10-02,11736,24,489,1,94,10
5887,4448,94-10-03,192744,36,5354,1,94,10
6808,8982,94-10-12,227880,36,6330,1,94,10
6297,6363,94-10-25,17508,12,1459,1,94,10
5161,1012,94-10-28,98184,24,4091,1,94,10
5390,2167,94-10-30,170256,24,7094,1,94,10
6150,5622,94-11-02,83016,12,6918,1,94,11
6223,5991,94-11-03,61056,48,1272,1,94,11
5032,290,94-11-03,123696,48,2577,1,94,11
6253,6148,94-11-04,59760,24,2490,1,94,11
6460,7133,94-11-06,48672,36,1352,1,94,11
6645,8041,94-11-06,140400,36,3900,1,94,11
5176,1106,94-11-12,192552,24,8023,-1,94,11
5269,1527,94-11-19,164052,36,4557,-1,94,11
5351,1978,94-12-04,205200,36,5700,1,94,12
5861,4337,94-12-08,51408,24,2142,1,94,12
5450,2345,94-12-11,199680,60,3328,1,94,12
7142,10451,94-12-19,482940,60,8049,-1,94,12
6306,6425,94-12-20,36684,12,3057,1,94,12
6272,6226,94-12-20,398640,60,6644,1,94,12
5044,344,94-12-21,100980,60,1683,1,94,12
5576,2962,94-12-21,31248,12,2604,1,94,12
7192,10738,94-12-21,115992,36,3222,1,94,12
5739,3747,95-01-02,76380,12,6365,1,95,01
6526,7523,95-01-03,288468,36,8013,1,95,01
5624,3166,95-01-03,177744,48,3703,-1,95,01
6244,6118,95-01-08,270648,36,7518,-1,95,01
5131,816,95-01-08,48624,24,2026,1,95,01
6960,9640,95-01-11,76416,24,3184,1,95,01
6358,6715,95-01-14,137880,60,2298,-1,95,01
5418,2245,95-01-16,347952,48,7249,1,95,01
6598,7857,95-01-18,68112,12,5676,1,95,01
5464,2419,95-01-30,95808,12,7984,1,95,01
6591,7819,95-02-02,20832,48,434,1,95,02
5724,3678,95-02-05,316140,60,5269,-1,95,02
6315,6472,95-02-06,43164,12,3597,1,95,02
5876,4413,95-02-08,221280,48,4610,1,95,02
6986,9750,95-02-11,151728,48,3161,-1,95,02
6294,6353,95-02-12,79920,60,1332,1,95,02
5132,817,95-02-17,538500,60,8975,1,95,02
5877,4414,95-02-23,97224,24,4051,1,95,02
6227,6030,95-03-04,28248,24,1177,1,95,03
7241,11021,95-03-04,168984,24,7041,-1,95,03
6737,8564,95-03-11,76680,24,3195,1,95,03
7004,9869,95-03-15,331560,60,5526,1,95,03
6169,5700,95-03-16,103680,60,1728,-1,95,03
5208,1247,95-03-16,99696,48,2077,-1,95,03
6694,8316,95-03-19,134784,24,5616,1,95,03
5599,3064,95-03-21,15420,12,1285,1,95,03
6546,7607,95-03-27,31728,24,1322,1,95,03
5414,2228,95-03-29,185952,48,3874,1,95,03
5453,2361,95-04-01,156672,36,4352,1,95,04
5740,3752,95-04-02,18564,12,1547,1,95,04
5804,4079,95-04-05,158976,48,3312,1,95,04
6745,8625,95-04-10,47304,24,1971,1,95,04
6950,9591,95-04-11,104712,24,4363,1,95,04
6996,9828,95-04-13,126600,24,5275,1,95,04
5352,1993,95-04-15,68400,12,5700,-1,95,04
6151,5628,95-04-25,225420,60,3757,1,95,04
5310,1762,95-04-28,248148,36,6893,1,95,04
5045,347,95-05-01,187224,24,7801,-1,95,05
6929,9472,95-05-08,36396,12,3033,1,95,05
5151,960,95-05-24,189060,60,3151,1,95,05
5212,1256,95-05-29,71064,36,1974,1,95,05
5138,854,95-05-30,87216,48,1817,1,95,05
5713,3629,95-05-30,158760,60,2646,1,95,05
6704,8377,95-06-01,417060,60,6951,1,95,06
6474,7190,95-06-06,63360,60,1056,1,95,06
6676,8159,95-06-13,29784,24,1241,1,95,06
6965,9656,95-06-13,139536,24,5814,1,95,06
6725,8489,95-06-23,265320,36,7370,1,95,06
7166,10630,95-06-24,198240,24,8260,1,95,06
7138,10440,95-07-03,60000,60,1000,1,95,07
5970,4774,95-07-09,465072,48,9689,1,95,07
6157,5650,95-07-10,98592,24,4108,1,95,07
6153,5632,95-07-25,285600,60,4760,1,95,07
5693,3489,95-08-01,44088,24,1837,1,95,08
5922,4580,95-08-05,20220,12,1685,1,95,08
5959,4727,95-08-11,107640,24,4485,1,95,08
5980,4825,95-08-18,21396,12,1783,1,95,08
6764,8776,95-08-26,33984,48,708,1,95,08
5237,1375,95-08-29,45336,24,1889,1,95,08
6726,8492,95-09-03,85860,60,1431,1,95,09
6933,9493,95-09-09,188688,48,3931,1,95,09
5145,915,95-09-16,309552,48,6449,1,95,09
7008,9897,95-09-22,36168,12,3014,1,95,09
7227,10942,95-10-02,314520,60,5242,1,95,10
6600,7861,95-10-08,21852,36,607,1,95,10
6712,8405,95-10-14,266220,60,4437,1,95,10
7057,10093,95-10-20,231696,36,6436,1,95,10
7176,10663,95-10-28,260028,36,7223,1,95,10
7304,11349,95-10-29,419880,60,6998,1,95,10
6362,6738,95-10-31,37908,12,3159,1,95,10
5880,4423,95-10-31,73836,36,2051,1,95,10
6535,7546,95-11-02,41952,12,3496,1,95,11
5449,2343,95-11-04,99336,24,4139,1,95,11
6342,6609,95-11-12,60156,36,1671,-1,95,11
5409,2218,95-11-18,182040,60,3034,1,95,11
6955,9627,95-11-22,244368,48,5091,1,95,11
6985,9731,95-11-22,113796,36,3161,1,95,11
5125,789,95-11-23,73056,48,1522,1,95,11
5805,4081,95-11-28,137904,24,5746,-1,95,11
6185,5774,95-11-28,31176,24,1299,1,95,11
7243,11042,95-12-04,217152,36,6032,1,95,12
6403,6924,95-12-05,194880,48,4060,1,95,12
6578,7765,95-12-11,27984,12,2332,1,95,12
5413,2227,95-12-12,92976,24,3874,1,95,12
6949,9583,95-12-12,104712,24,4363,1,95,12
6545,7606,95-12-12,191880,60,3198,1,95,12
6178,5742,95-12-16,232560,48,4845,1,95,12
5160,1011,95-12-18,204000,60,3400,1,95,12
6785,8899,95-12-25,125340,60,2089,1,95,12
6540,7562,95-12-31,309600,48,6450,1,95,12
6589,7815,96-01-01,189696,24,7904,1,96,01
5900,4503,96-01-01,135360,48,2820,1,96,01
5999,4907,96-01-03,98832,48,2059,1,96,01
6043,5126,96-01-11,20352,48,424,1,96,01
5482,2496,96-01-12,165120,60,2752,1,96,01
7263,11138,96-01-19,89880,24,3745,1,96,01
6013,4995,96-02-03,128988,36,3583,-1,96,02
5750,3804,96-02-08,63252,12,5271,1,96,02
6027,5066,96-02-10,61656,24,2569,-1,96,02
6303,6400,96-02-12,72408,24,3017,-1,96,02
7213,10884,96-02-13,113544,36,3154,1,96,02
6659,8092,96-02-20,56100,60,935,1,96,02
6175,5735,96-02-21,290700,60,4845,-1,96,02
5610,3112,96-02-24,123216,48,2567,1,96,02
5563,2912,96-02-29,380160,60,6336,1,96,02
5989,4852,96-03-04,213300,36,5925,1,96,03
6698,8327,96-03-10,247728,48,5161,1,96,03
5312,1772,96-03-13,202788,36,5633,1,96,03
7189,10728,96-03-21,154656,48,3222,1,96,03
6816,9017,96-03-26,100224,48,2088,-1,96,03
6137,5574,96-04-10,44628,12,3719,1,96,04
5128,808,96-04-11,215616,48,4492,-1,96,04
5470,2456,96-04-15,200976,48,4187,1,96,04
5593,3037,96-04-18,277884,36,7719,-1,96,04
5350,1967,96-04-21,249312,48,5194,1,96,04
6063,5213,96-04-25,320976,48,6687,-1,96,04
6501,7418,96-04-29,30276,12,2523,-1,96,04
5452,2352,96-04-29,49440,60,824,1,96,04
4961,19,96-04-29,30276,12,2523,-1,96,04
4973,67,96-05-02,165960,24,6915,1,96,05
6190,5794,96-05-06,123600,60,2060,1,96,05
6715,8411,96-05-06,220620,60,3677,1,96,05
5892,4462,96-05-14,66480,24,2770,-1,96,05
6550,7614,96-05-18,320592,48,6679,1,96,05
5706,3608,96-05-24,161496,36,4486,1,96,05
5148,940,96-05-29,284280,60,4738,1,96,05
6734,8547,96-05-30,173016,36,4806,1,96,05
6109,5422,96-06-03,368880,60,6148,1,96,06
6961,9645,96-06-06,176148,36,4893,1,96,06
6810,9006,96-06-08,186384,48,3883,1,96,06
5494,2572,96-06-13,360000,48,7500,1,96,06
5311,1766,96-06-15,30060,60,501,1,96,06
5445,2322,96-06-29,46320,24,1930,1,96,06
5301,1698,96-07-06,141948,36,3943,1,96,07
7034,10001,96-07-11,19044,36,529,1,96,07
6751,8680,96-07-14,85716,36,2381,1,96,07
6667,8127,96-07-15,155880,24,6495,1,96,07
6130,5541,96-07-18,32640,48,680,1,96,07
5429,2268,96-07-18,20196,36,561,1,96,07
5725,3679,96-07-23,444864,48,9268,1,96,07
6019,5033,96-07-25,11400,12,950,1,96,07
6421,6985,96-07-25,96768,36,2688,1,96,07
6992,9790,96-07-27,133968,48,2791,1,96,07
5136,846,96-07-28,187104,24,7796,1,96,07
5337,1886,96-07-31,162468,36,4513,1,96,07
5495,2580,96-08-02,89340,60,1489,1,96,08
7013,9928,96-08-02,89340,60,1489,1,96,08
6012,4994,96-08-03,258444,36,7179,1,96,08
6471,7184,96-08-04,155640,24,6485,1,96,08
6296,6358,96-08-06,270384,48,5633,1,96,08
7305,11359,96-08-06,54024,12,4502,1,96,08
6144,5593,96-08-09,44376,12,3698,1,96,08
6283,6289,96-08-11,85632,48,1784,1,96,08
7246,11054,96-08-20,148920,60,2482,1,96,08
5088,544,96-08-22,91152,24,3798,1,96,08
5988,4851,96-08-22,141648,24,5902,1,96,08
5282,1583,96-08-24,388512,48,8094,-1,96,08
5938,4650,96-08-25,402000,60,6700,1,96,08
5606,3084,96-08-28,253512,36,7042,-1,96,08
5385,2143,96-09-09,71460,36,1985,1,96,09
6865,9199,96-09-11,29448,12,2454,-1,96,09
5586,2994,96-09-14,48744,36,1354,1,96,09
6302,6397,96-09-16,181020,60,3017,1,96,09
7194,10762,96-09-17,68832,36,1912,1,96,09
6461,7136,96-09-19,74124,36,2059,1,96,09
6732,8533,96-09-19,174048,48,3626,1,96,09
6613,7926,96-09-22,84120,24,3505,1,96,09
7036,10019,96-09-25,194940,36,5415,1,96,09
5897,4476,96-09-25,15192,24,633,1,96,09
6995,9814,96-09-26,96168,12,8014,1,96,09
5415,2236,96-09-26,139464,36,3874,-1,96,09
7136,10436,96-09-28,54396,36,1511,1,96,09
7271,11186,96-10-02,392460,60,6541,1,96,10
5375,2106,96-10-03,101520,12,8460,1,96,10
5635,3230,96-10-04,77184,36,2144,1,96,10
6817,9024,96-10-04,70656,48,1472,1,96,10
5923,4585,96-10-10,64656,48,1347,1,96,10
5329,1862,96-10-16,396120,60,6602,1,96,10
6644,8039,96-10-20,93600,24,3900,1,96,10
6354,6688,96-10-23,22968,36,638,1,96,10
5082,501,96-10-24,262980,60,4383,1,96,10
6585,7795,96-10-29,372120,60,6202,1,96,10
6921,9422,96-10-29,86184,12,7182,1,96,10
5366,2062,96-10-29,86184,12,7182,1,96,10
5886,4447,96-10-31,192744,36,5354,1,96,10
5741,3754,96-11-03,68544,24,2856,1,96,11
4996,132,96-11-06,88440,12,7370,1,96,11
6015,5001,96-11-09,110112,24,4588,1,96,11
6309,6434,96-11-11,110136,24,4589,1,96,11
6073,5263,96-11-12,276300,60,4605,1,96,11
6006,4948,96-11-15,359760,60,5996,1,96,11
5611,3115,96-11-15,321180,60,5353,1,96,11
6944,9548,96-11-15,46176,48,962,1,96,11
7101,10297,96-11-18,421008,48,8771,1,96,11
6599,7859,96-11-19,72120,12,6010,1,96,11
6940,9510,96-11-22,228276,36,6341,1,96,11
5209,1250,96-11-25,182640,48,3805,1,96,11
5388,2153,96-11-28,61560,12,5130,1,96,11
6011,4981,96-11-28,179328,48,3736,1,96,11
5591,3021,96-12-04,155616,48,3242,1,96,12
7154,10520,96-12-05,417600,60,6960,1,96,12
7130,10411,96-12-11,123408,24,5142,1,96,12
6818,9030,96-12-12,155616,48,3242,1,96,12
5625,3189,96-12-15,222180,60,3703,-1,96,12
6805,8972,96-12-21,45024,48,938,1,96,12
7233,10963,96-12-25,115812,36,3217,1,96,12
7308,11362,96-12-27,129408,24,5392,1,96,12
